2010/3/1 17:57:31
"Food-tracking task (monkey)","Monkey fixed on the seat tracked food by its right hand."
Arm position,Arm speed,ch1,ch2,ch3,ch4
"distance between hand and food, [mm]","angular velocity of elbow, [rad/s]","spike timing data, [sec]","spike timing data, [sec]","spike timing data, [sec]","spike timing data, [sec]"
100,100
55.1043,1,0.17,0.18,,0.08
46.7192,0.1668,0.19,0.43,,0.11
45.3208,0.3217,0.22,0.9,,0.22
42.6231,0.3385,0.23,0.92,,0.25
39.7851,0.4325,0.3,0.97,,0.26
36.1588,0.1686,0.31,,,0.29
34.7454,0.5995,0.43,,,0.31
29.7183,0.1824,0.47,,,0.4
28.1888,0.0721,0.84,,,0.42
27.5839,0.153,,,,0.43
26.3008,0.1496,,,,0.5
25.0467,0.0783,,,,0.59
24.3905,0.08,,,,0.6
23.7195,0.0213,,,,0.71
23.5408,0.0755,,,,
22.9076,0.0035,,,,
22.8784,0.0944,,,,
22.0867,0.0294,,,,
21.8397,0.0056,,,,
21.7924,0.0039,,,,
21.7598,0.015,,,,
21.6339,0.0124,,,,
21.5295,0.0588,,,,
21.0362,0.0376,,,,
20.7213,0.0776,,,,
20.0702,0.1722,,,,
18.6266,0.0122,,,,
18.5243,0.0766,,,,
17.8818,0.0329,,,,
17.6057,0.0016,,,,
17.5921,0.0547,,,,
17.1337,0.0071,,,,
17.0742,0.0078,,,,
17.009,0.0159,,,,
16.8753,0.0135,,,,
16.762,0.0077,,,,
16.6972,0.0372,,,,
16.3856,0.0134,,,,
16.2731,0.0495,,,,
15.8583,0.2688,,,,
13.6044,0.0004,,,,
13.6011,0.0433,,,,
13.2383,0.0023,,,,
13.2194,0.0027,,,,
13.1965,0.0498,,,,
12.7786,0.0471,,,,
12.3838,0.0093,,,,
12.3062,0.0316,,,,
12.0411,0.0324,,,,
11.7693,0.0089,,,,
11.695,0.0183,,,,
11.5419,0.0126,,,,
11.4362,0.0106,,,,
11.3471,0.0284,,,,
11.1092,0.0027,,,,
11.0864,0.0058,,,,
11.0378,0.0092,,,,
10.9604,0.0046,,,,
10.9219,0.0333,,,,
10.6423,0.0462,,,,
10.2546,0.0085,,,,
10.1836,0.0721,,,,
9.579,0.0223,,,,
9.3923,0.1161,,,,
8.4191,0.0273,,,,
8.1898,0.0897,,,,
7.4373,0.0013,,,,
7.4265,0.0906,,,,
6.667,0.0099,,,,
6.5841,0.1145,,,,
5.6242,0.0529,,,,
5.1806,0.0321,,,,
4.9116,0.011,,,,
4.8193,0.0008,,,,
4.8125,0.0109,,,,
4.7213,0.0173,,,,
4.576,0.0176,,,,
4.4284,0.0042,,,,
4.3931,0.0881,,,,
3.6545,0.0042,,,,
3.6195,0.0292,,,,
3.3748,0.0182,,,,
3.2218,0.0197,,,,
3.0567,0.0132,,,,
2.9463,0.0032,,,,
2.9192,0.0067,,,,
2.8631,0.0094,,,,
2.7846,0.0183,,,,
2.631,0.023,,,,
2.4382,0.075,,,,
1.8097,0.0355,,,,
1.5124,0.0048,,,,
1.4718,0.03,,,,
1.2201,0.0063,,,,
1.1671,0.0094,,,,
1.0879,0.0263,,,,
0.8672,0.0561,,,,
0.3966,0.0046,,,,
0.358,0.0427,,,,
0,0.003,,,,
